year,make,number
2013,FOTON,56
2013,FREIGHT ROVER,0
2013,GAC,0
2013,GOLDEN DRAGON,335
2013,HENGTONG,0
2013,HIGER,177
2013,HINO,230
2013,HYUNDAI,82
2013,ISUZU,866
2013,IVECO,2
2013,JINBEI,2
2013,JOYLONG,25
2013,KIA,148
2013,KING LONG,515
2013,LEYLAND,0
2013,MAN,412
2013,MAZDA,7
2013,MERCEDES BENZ,2433
2013,MITSUBISHI,1365
2013,NIPPON,0
2013,NISSAN,1839
2013,NORDCO,0
2013,OPEL,89
2013,PEUGEOT,12
2013,RENAULT,35
2013,SCANIA,1482
2013,SHUCHI,0
2013,SUNLONG,77
2013,TATA,0
2013,TEAGLE,0
2013,TOYOTA,4972
2013,VAN HOOL,0
2013,VOLKSWAGEN,38
2013,VOLVO,1821
2013,YOUNGMAN,5
2013,YUTONG,171
2013,ZHONG TONG,50
2013,ZONDA,44
2013,OTHERS,11
2014,ALEXANDER DENNIS,91
2014,ANKAI,19
2014,AVIA,1
2014,CHERY,3
2014,CITROEN,19
2014,COBUS,9
2014,CONDIESEL,7
2014,D.A.F.,26
2014,D.K.R.,0
2014,DAEWOO,3
2014,DENNIS,33
2014,FIAT,35
2014,FORD,35
2014,FOTON,56
2014,FREIGHT ROVER,0
2014,GAC,1
2014,GOLDEN DRAGON,366
2014,HENGTONG,1
2014,HIGER,179
2014,HINO,187
2014,HYUNDAI,84
2014,ISUZU,860
2014,IVECO,2
2014,JINBEI,2
2014,JOYLONG,71
2014,KIA,99
2014,KING LONG,518
2014,LEYLAND,0
2014,MAN,614
2014,MAZDA,3
2014,MERCEDES BENZ,2230
2014,MITSUBISHI,1293
2014,NIPPON,1
2014,NISSAN,1815
2014,NORDCO,0
2014,OPEL,59
2014,PEUGEOT,11
2014,RENAULT,25
2014,SCANIA,1482
2014,SHUCHI,1
2014,SUNLONG,75
2014,TATA,0
2014,TEAGLE,1
2014,TOYOTA,5193
2014,VAN HOOL,0
2014,VOLKSWAGEN,28
2014,VOLVO,1701
2014,YOUNGMAN,5
2014,YUTONG,205
2014,ZHONG TONG,61
2014,ZONDA,44
2014,OTHERS,0
2015,ALEXANDER DENNIS,201
2015,ANKAI,24
2015,CITROEN,16
2015,COBUS,8
2015,CONDIESEL,7
2015,D.A.F.,19
2015,D.K.R.,0
2015,DENNIS,33
2015,FIAT,33
2015,FORD,24
2015,FOTON,61
2015,GOLDEN DRAGON,403
2015,HIGER,182
2015,HINO,155
2015,HYUNDAI,86
2015,ISUZU,903
2015,JOYLONG,88
2015,KIA,69
2015,KING LONG,524
2015,LEYLAND,0
2015,MAN,786
2015,MAZDA,0
2015,MERCEDES BENZ,2123
2015,MITSUBISHI,1303
2015,NISSAN,1756
2015,OPEL,45
2015,PEUGEOT,11
2015,RENAULT,21
2015,SCANIA,1473
2015,SUNLONG,75
2015,TATA,0
2015,TOYOTA,5529
2015,VOLKSWAGEN,21
2015,VOLVO,1803
2015,YOUNGMAN,5
2015,YUTONG,265
2015,ZHONG TONG,68
2015,ZONDA,44
2015,OTHERS,19
2016,ALEXANDER DENNIS,201
2016,ANKAI,29
2016,CITROEN,16
2016,COBUS,8
2016,CONDIESEL,7
2016,D.A.F.,0
2016,D.K.R.,0
2016,DENNIS,33
2016,FIAT,33
2016,FORD,13
2016,FOTON,72
2016,FTBCI,16
2016,GOLDEN DRAGON,0
2016,HIGER,196
2016,HINO,119
2016,HYUNDAI,90
2016,ISUZU,950
2016,JOYLONG,98
2016,KIA,37
2016,KING LONG,520
2016,LEYLAND,0
2016,MAN,904
2016,MAXUS,12
2016,MAZDA,0
2016,MERCEDES BENZ,2151
2016,MITSUBISHI,1254
2016,NISSAN,1675
2016,OPEL,39
2016,PEUGEOT,11
2016,RENAULT,16
2016,SCANIA,1463
2016,SUNLONG,75
2016,TATA,0
2016,TOYOTA,5929
2016,VOLKSWAGEN,10
2016,VOLVO,1894
2016,YOUNGMAN,5
2016,YUTONG,360
2016,ZHONG TONG,78
2016,ZONDA,44
2016,OTHERS,446
2017,ALEXANDER DENNIS,216
2017,ANKAI,28
2017,CITROEN,15
2017,COBUS,8
2017,CONDIESEL,7
2017,D.A.F.,0
2017,D.K.R.,0
2017,DENNIS,31
2017,FIAT,26
2017,FORD,5
2017,FOTON,90
2017,FTBCI,50
2017,GOLDEN DRAGON,480
2017,HIGER,213
2017,HINO,96
2017,HYUNDAI,87
2017,ISUZU,1033
2017,JOYLONG,97
2017,KIA,25
2017,KING LONG,560
2017,LEYLAND,0
2017,MAN,1031
2017,MAXUS,23
2017,MAZDA,0
2017,MERCEDES BENZ,2008
2017,MITSUBISHI,1215
2017,NISSAN,1553
2017,OPEL,26
2017,PEUGEOT,8
2017,RENAULT,14
2017,SCANIA,1489
2017,SUNLONG,73
2017,TATA,0
2017,TOYOTA,6092
2017,VOLKSWAGEN,0
2017,VOLVO,2037
2017,YOUNGMAN,5
2017,YUTONG,471
2017,ZHONG TONG,110
2017,ZONDA,43
2017,OTHERS,20
